기간,지역,원자력,유연탄,무연탄,유류,LNG,양수,신재생,,,,,,,,기타,합계
,,,,,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,,
2013/05,합계,47.97603198,61.54474515,90.10872669,230.18516814,156.46233391,200.64820381,148.1718253,0,157.046506,156.2350768,165.4957027,146.3798903,148.8246514,100.2637102,,90.39804959
2013/04,합계,51.31067176,62.23139533,96.85465118,219.93648071,165.64377134,211.54832322,160.7864861,0,169.5806384,174.1313532,177.6105308,158.5951524,161.223762,106.2843797,,97.00831299
2013/03,합계,48.47597933,63.30732889,91.80642664,213.73443908,162.36697608,206.59124458,150.8428255,0,154.1597643,164.9597515,164.2467504,149.7925752,150.7948375,105.0894179,,89.99655558
2013/02,합계,48.24412938,61.72956251,101.30964972,212.73229756,160.6022135,208.15897921,148.4144941,0,151.3622838,164.3976019,165.3436737,145.8002186,149.0050545,103.5773757,,90.06842463
2013/01,합계,52.67065231,67.11492288,105.35187713,232.31178917,164.65006456,229.36176021,150.1203549,0,160.2095334,165.5420904,172.8669848,151.3720312,151.3844452,103.0749609,,95.79322467
2012/12,합계,28.4450052,48.96202152,73.60983696,237.93704138,147.68508234,241.53337775,161.6805642,,183.3948921,172.3249168,189.889589,164.8029994,160.607851,73.8494442,1983.40061095,80.4010413
2012/11,합계,25.85991179,51.64820322,78.97060246,240.28663435,136.01626365,181.22077436,136.0952341,,145.8535188,160.026981,156.5642234,137.4416207,137.2905085,73.5841913,1036.92302914,75.19710256
2012/10,합계,27.34083833,53.33304414,68.25572874,249.90205072,154.55028961,192.0295637,146.425405,,156.8840746,172.0137255,166.4719398,143.3860396,147.4964526,82.9641489,1006.34838818,72.21361186
2012/09,합계,25.37241606,55.72939487,77.47182373,257.36078755,157.51381203,163.95202392,130.2054992,,138.2318632,147.9076848,145.4953522,123.8456155,130.2399953,68.873161,792.85229273,67.46672217
2012/08,합계,42.53954494,69.40335322,105.45871003,260.45366987,182.57438767,213.44272078,157.0363475,,174.109206,170.2861179,176.8482732,151.5374749,157.1921793,71.4878826,982.43612912,91.39195171
2012/07,합계,45.70925296,70.58629689,110.26109915,266.81261516,197.71036259,245.34117095,181.0258423,,197.380453,186.9103954,206.5875797,176.0869639,181.5254529,96.2941133,2233.69418601,100.2818551
2012/06,합계,38.92943957,64.26100991,102.50230958,263.41021857,177.85202884,228.55120043,174.2107627,,189.2709655,193.0190495,199.902343,168.3611061,174.4857623,94.1190146,9914.69903558,89.83488101
2012/05,합계,40.46104874,67.91038038,108.91145691,253.99914818,171.03598721,218.58906223,167.7693862,,180.1514842,183.4627947,186.4078899,165.3933018,168.9181751,92.3399525,1320.68802272,92.46151247
2012/04,합계,47.54981764,77.7751285,126.36827951,245.57835713,167.43610866,205.21390406,155.1878517,,162.5058303,175.8639061,169.5288612,152.7905112,154.4031664,88.5375488,1091.67190729,100.87955431
2012/03,합계,51.97012088,81.07408344,136.58580835,257.14755402,187.27550935,250.24889748,174.2341929,,187.7457996,193.1914548,200.4660176,174.7980904,172.5403712,68.1158173,17653.5295148,108.16882767
2012/02,합계,47.9520417,75.8745221,125.99656837,248.67633094,170.27390796,241.39782371,156.9481175,,173.035506,183.1499679,185.3791564,154.3399723,157.1449253,66.0877502,2565.91518249,100.15267541
2012/01,합계,51.29545983,80.02739602,129.4265346,258.71796342,172.15887774,221.2156981,144.5833144,,146.4424504,165.3502688,174.4167884,141.4300867,145.3194863,81.8696162,1925.93570856,100.81974523
2011/12,합계,39.6371766,71.60993217,97.51112222,241.67114712,158.76702992,207.11009216,144.3128807,,153.3569177,162.22092,163.7345997,145.0654135,144.8550462,81.3333948,1581.08598479,90.3871001
2011/11,합계,38.43693044,66.3369195,95.08742084,257.37015228,157.12770941,188.40466357,138.3656278,,144.8575369,151.990559,156.5980684,138.1073168,138.7677285,82.8369402,984.94808396,80.71225783
2011/10,합계,34.97695589,64.52207372,87.28245162,276.51748768,143.44293095,178.83040534,121.8111379,,127.6778399,147.4812887,140.0597828,122.2529291,122.4507016,79.0606697,761.14590716,72.7558981
2011/09,합계,36.16238093,65.96855597,88.87985012,249.75503741,154.17838647,161.90442562,128.4919852,,144.0492355,152.2613532,146.6533787,114.90909,128.948365,81.0846713,643.21410675,79.75526027
2011/08,합계,37.26666873,66.88803948,92.04241528,342.46805264,155.73743829,147.74957147,112.4656796,,129.5008361,137.1873467,127.1501881,115.6579163,113.3080875,77.825774,567.00593362,76.49671698
2011/07,합계,37.76673951,65.97810913,91.54435515,336.09639055,156.93553738,155.32958887,114.8092605,,134.2238783,143.5255334,128.7501709,129.809739,115.5646474,78.346893,1083.91550625,77.87051326
2011/06,합계,39.56398217,68.75205839,103.4116805,240.28325414,133.04353817,158.31329295,117.2415752,,125.13877,137.5998835,130.1295099,131.7974084,119.5690223,78.7071644,2010.83926755,79.02396753
2011/05,합계,39.12765521,68.49574932,106.04525222,296.53477022,132.38867358,168.23563075,116.1049226,,119.3902102,135.7521314,125.7460703,123.4522362,116.8369579,76.8549136,1380.79651425,74.13318224
2011/04,합계,39.13500586,67.02943973,103.34399671,218.79155072,126.05700623,175.06145796,116.294103,,119.8281771,132.7054833,131.8409321,126.2981174,116.7843257,81.1499809,391.08098526,75.271944
2011/03,합계,40.78655921,69.19848485,101.31804423,186.31754328,129.67674502,175.02044613,122.4380377,,127.5186298,136.9263546,138.6894139,133.2795203,122.4295315,79.1214111,825.54704883,80.18813912
2011/02,합계,40.02402006,62.10880262,106.92454609,179.06441964,131.6897421,165.84101495,120.3490929,,121.7424794,132.3397472,141.159599,126.0941339,121.3467134,77.8839994,1155.85274725,76.0528439
2011/01,합계,46.92417148,68.37197899,112.31106878,182.33296011,135.54013891,185.53798912,130.3821251,,138.9382994,140.8264117,155.5247219,128.996011,130.6638138,78.3401912,1993.40307755,88.41403711
2010/12,합계,33.97723862,59.80640454,108.29889722,170.30561478,129.3402477,211.25799157,128.6103248,,140.3231303,135.5832396,157.6446363,148.1651189,130.220641,67.4305288,1242.76373979,75.84499134
2010/11,합계,29.26259787,57.27541622,95.93613522,198.61238316,114.03823681,166.55497887,104.3846509,,108.0464007,112.3329785,122.0837707,100.5539685,104.3180374,73.553018,746.10252591,63.8922045
2010/10,합계,30.3797222,59.14521433,99.68110539,219.22528954,122.84693157,175.12323556,110.3511194,,116.0977204,123.4540328,127.1044161,110.2756615,110.7688787,71.5654267,748.84775468,65.04955257
2010/09,합계,30.67390224,58.14099081,105.38949871,199.14841711,132.51357904,172.05318595,109.6735496,,124.6202202,119.5852802,125.7837814,126.647547,111.5127889,70.0194969,872.79547018,68.78939747
2010/08,합계,34.82591795,62.76603025,107.43444637,213.91336826,145.30868308,204.47561227,115.4826262,,134.2880791,115.5768078,137.3211373,130.1923569,114.9861897,72.6434587,13851.03397341,74.63690512
2010/07,합계,46.36721903,63.03584313,114.44095229,211.28555012,141.02078435,235.00036681,109.9652446,,130.6085432,116.5780708,136.9000221,121.2854525,111.0882934,68.1559105,947.0655291,76.85562512
2010/06,합계,42.95397259,61.01557774,109.22304801,184.55526038,131.17457872,218.26800326,111.4168367,,126.1484927,119.31321,132.0507601,107.9626461,113.2808725,72.3093246,656.98398028,72.69658053
